原题名称,标题,题目名称,问题描述,输入描述,输出描述,提示说明,样例输入,样例输出,通过率,AC数,Submit,题目URL,题目列表URL,补题传送门URL,补题题目URL
2014：假期的数量,18-19(1)第3次线上赛,2：假期的数量,"已知某年有m天（m不是365就是366），且该年的1月1日是星期a（a是1~7之间的整数，其中1代表周一，7代表
周
日，其他的数字含义类推），求
该
年有几天是周末（周六和周日算周末）","一个正整数n，表示有n组案例。
每组案例由两个整数m和a表示，m和a的含义见题目描述。","针对每组案例，输出一个整数，表示该年有多少天
是周末。
每组案例输出完都要换行。",,"2
365 1
366 7","104
105",34.88%,113,324,https://www.xujcoj.com/home/contest/344/problem/2,https://www.xujcoj.com/home/contest/344/problem,https://www.xujcoj.com/home/problem?keyword3=344,https://www.xujcoj.com/home/problem/detail/2014
2016：星号阵列-14,22-23(2)第3次线上赛,4：星号阵列-23,"输出一个星号阵列，每行星号的数量满足以下规律：
1、第一行有a个星号；
2、从第二行开始，每行星号的数量是上一行星号数量的因子的个数，例如上一行有6个星号，由于6有1、2、3、6共4个因子，故该行有4个星号；
3、当某一行有1个或者2个星号时，该行是星号阵列的最后一行，最后一行打完星号以后也有换行。","只有一组案例。
一个正整数a，表示第一行星号的数量。（a<=100）",按要求输出星号阵列。,,6,"******
****
***
**",52.55%,72,137,https://www.xujcoj.com/home/contest/1360/problem/4,https://www.xujcoj.com/home/contest/1360/problem,https://www.xujcoj.com/home/problem?keyword3=1360,https://www.xujcoj.com/home/problem/detail/3992
2071：字符串出现次数,18-19(1)第6次线上赛,5：字符串出现次数,"看看a字符串里出现了多少次b字符串，规定如果多个b字符串在a中的位置出现重叠，则都不计入次数。
例如abababa里计算出现了多少次的aba时，由于所有的aba字符串都存在与别的aba字符串位置重叠，所以一共出现0次。","一个正整数n，表示测试案例的数量。
每组案例由两个字符串a、b组成。（长度均不大于1000）","针对每组案例，输出一个整数，表示a中出现了几个不重叠的b。
每组案例输出完都要换行。",,"2
AAAABAA  AA
ABABABA  AB","1
3",18.18%,6,33,https://www.xujcoj.com/home/contest/379/problem/5,https://www.xujcoj.com/home/contest/379/problem,https://www.xujcoj.com/home/problem?keyword3=379,https://www.xujcoj.com/home/problem/detail/2071
2073：字符串替换,18-19(1)第6次线上赛,1：字符串替换,把字符串$$s$$中的前$$m$$个字符$$c$$替换成字符串$$d$$。,"一个正整数$$n$$，表示测试案例的数量。
每组案例由一个字符串$$s$$，一个正整数$$m$$，一个字符$$c$$，一个字符串$$d$$组成。（保证$$s$$里至少会有$$m$$个$$c$$字符）","针对每组案例，输出一个字符串，表示根据描述变化后的字符串。

每组案例输出完都要换行。",,"2

hello 1 e a

cppprogramming 2 p ++","hallo

c++++programming",33.33%,109,327,https://www.xujcoj.com/home/contest/379/problem/1,https://www.xujcoj.com/home/contest/379/problem,https://www.xujcoj.com/home/problem?keyword3=379,https://www.xujcoj.com/home/problem/detail/2073
2173：时间差-2,18-19(2)第1次线上赛,2：时间差-2,已知同一天中有两个时间点，求这两个时间点之间相差几小时几分几秒。,"一个正整数n，表示有n组案例。
每组案例由6个整数组成，前三个整数表示第一个时间点的时、分、秒，后三个整数表示第二个时间点的时、分、秒。
保证两个时间点都是合法的（从0：0：0到23：59：59范围内），但不保证两个时间点谁先谁后。","针对每组案例，输出三个非负整数a、b、c，每两个数之间有一个空格，表示两个时间点的时间差为a小时b分c秒（其中b和c都不能大于等于60）。
每组案例输出完都要换行。",,"2
8 5 10 13 10 5
7 20 0 6 50 0","5 4 55
0 30 0",39.64%,155,391,https://www.xujcoj.com/home/contest/437/problem/2,https://www.xujcoj.com/home/contest/437/problem,https://www.xujcoj.com/home/problem?keyword3=437,https://www.xujcoj.com/home/problem/detail/2173
2174：身份证校验码,18-19(2)第1次线上赛,3：身份证校验码,"18位身份证的最后一位是校验码，
校验码
根据前17位数字经过如下几步骤计算得到。
第一步：将身份证号码的第1位数字与7相乘；将身份证号码的第2位数字与9相乘；将身份证号码的第3位数字与10相乘；将身份证号码的第4位数字与5相乘；将身份证号码的第5位数字与8相乘；将身份证号码的第6位数字与4相乘；将身份证号码的第7位数字与2相乘；将身份证号码的第8位数字与1相乘；将身份证号码的第9位数字与6相乘；将身份证号码的第10位数字与3相乘；将身份证号码的第11位数字与7相乘；将身份证号码的第12位数字与9相乘；将身份证号码的第13位数字与10相乘；将身份证号码的第14位数字与5相乘；将身份证号码的第15位数字与8相乘；将身份证号码的第16位数字与4相乘；将身份证号码的第17位数字与2相乘。
第二步：将第一步身份证号码1~17位相乘的结果求和，全部加起来。
第三步：用第二步计算出来的结果除以11，这样就会出现余数为0，余数为1，余数为2，余数为3，余数为4，余数为5，余数为6，余数为7，余数为8，余数为9，余数为10共11种可能性。
第四步：如果余数为0，那对应的最后一位身份证的号码为1；如果余数为1，那对应的最后一位身份证的号码为0；如果余数为2，那对应的最后一位身份证的号码为X（大写字母）；如果余数为3，那对应的最后一位身份证的号码为9；如果余数为4，那对应的最后一位身份证的号码为8；如果余数为5，那对应的最后一位身份证的号码为7；如果余数为6，那对应的最后一位身份证的号码为6；如果余数为7，那对应的最后一位身份证的号码为5；如果余数为8，那对应的最后一位身份证的号码为4；如果余数为9，那对应的最后一位身份证的号码为3；如果余数为10，那对应的最后一位身份证的号码为2。
现在有一个身份证号，如果校验码是正确的，那么输出Yes，否则输出正确的身份证号。","一个正整数n，表示有n组案例。
每组案例由一个18位的字符串组成。","针对每组案例，如果身份证校验码是正确的，则输出Yes；否则输出一个字符串，是校验码修改成正确的身份证号。
每组案例输出后都要换行。",,"2
432831196411150810
432831196411150811","Yes
432831196411150810",33.03%,36,109,https://www.xujcoj.com/home/contest/437/problem/3,https://www.xujcoj.com/home/contest/437/problem,https://www.xujcoj.com/home/problem?keyword3=437,https://www.xujcoj.com/home/problem/detail/2174
2175：专业代表,18-19(2)第1次线上赛,1：专业代表,嘉庚学院的学号是由3位字符和5位数字构成，前3位字符是专业缩写，例如SWE19001。现在有一场全校规模的比赛，在报名的众多学生中，每个专业只选一名学生，该名学生是本专业最早报名的那个人（即在输入中是本专业最先输入的）。要求按输入先后顺序输出满足条件的学生学号。,"一个正整数n，表示有n组案例。
每组案例中，先是一个正整数m，表示有m个学生报名。然后是m个字符串，表示按报名先后顺序的学生学号。每个学号都是8位（
3位字符和5位数字
，
前3位字符是专业缩写）。","针对每组案例，输出所有满足条件的学生的学号（要求按输入的顺序）。每两个学号之间需要间隔一个空格。
每组案例输出结束后都要换行。",,"1
4
ITT19003
SWE19001
CST19002
SWE19004","ITT19003 
SWE19001 CST19002",34.63%,71,205,https://www.xujcoj.com/home/contest/437/problem/1,https://www.xujcoj.com/home/contest/437/problem,https://www.xujcoj.com/home/problem?keyword3=437,https://www.xujcoj.com/home/problem/detail/2175
2177：平行四边形,18-19(2)第1次线上赛,4：平行四边形,已知平行四边形逆时针方向4个顶点中的前3个顶点坐标，求第4个顶点坐标。,"一个正整数n，表示有n组案例。
每组案例由6个整数构成，前2个表示第一个顶点的坐标（数学上的x轴和y轴），中间2个表示第二个顶点的坐标，最后2个表示第三个顶点的坐标。
这三个
顶点
的位置保证可以找到第四个顶点按逆时针顺序连在一起构成平行四边形","针对每组案例，输出两个整数，用空格隔开，表示第四个顶点的坐标。
每组案例输出完都要换行。",,"1
2 0 5 6 2 12",-1 6,58.15%,189,325,https://www.xujcoj.com/home/contest/437/problem/4,https://www.xujcoj.com/home/contest/437/problem,https://www.xujcoj.com/home/problem?keyword3=437,https://www.xujcoj.com/home/problem/detail/2177
2236：斐波那契程序员,18-19(2)第2次线上赛,2：斐波那契程序员,"有一个程序员，每天都在写bug和修复昨天以及前天写的bug。
假设他能修复昨天写的且尚未修复的一半数量的bug，同时能修复前天
写的
且
尚未修复的一半数量的bug
（如果“
一半数量”
不是整数则取整）
已知他一共工作了a天，也知道他这a天里每一天写的bug数量，问a天之后，还存在多少个没有解决的bug？
例如，如果他工作了4天，每天写的bug数量分别是4、5、8、6，
则
第1天写了4个bug，
第2天写了5个bug，同时修复了第1天写的2个bug，
第3天写了8个bug，同时修复了第2天
写
的2个bug，第1天写的1个bug（因为第1天还剩2个bug，解决一半）
第4天写了6个bug，同时修复了第3天写的4个bug，第2天写的1个bug
这样第1天剩1个bug，第2天
剩
2个bug，第3天剩4个bug，第4天剩6个bug，总共13个。","一个正整数n，表示有n组案例。
每组案例先是一个正整数a，表示工作的天数；然后是a个整数，表示每天写的bug数量。（a<=100，结果不会超过int范围）","针对每组案例，输出一个整数，表示最后没有解决的bug数量。
每组案例输出完都要换行。",,"1
4
4 5 8 6",13,39.51%,96,243,https://www.xujcoj.com/home/contest/453/problem/2,https://www.xujcoj.com/home/contest/453/problem,https://www.xujcoj.com/home/problem?keyword3=453,https://www.xujcoj.com/home/problem/detail/2236
2539：反向输出四位数,19-20(1)第1次线上赛,3：反向输出四位数,把一个四位正整数反向输出,一个四位正整数,"反向输出这个四位数，也就是个位数、十位数、百位数、千位数的顺序。不用管反向后是否0开头的问题。
不要换行。",,1280,0821,63.54%,230,362,https://www.xujcoj.com/home/contest/546/problem/3,https://www.xujcoj.com/home/contest/546/problem,https://www.xujcoj.com/home/problem?keyword3=546,https://www.xujcoj.com/home/problem/detail/2539
2540：等差数列,19-20(1)第1次线上赛,4：等差数列,已知一个等差数列第a项的值是b，第c项的值是d，输出该数列第n项的值,"五个整数a、b、c、d、n，含义见【描述】（a>0, c>0, n>0, a≠c)。
保证数列的每一项都是整数。","一个整数，表示第n项数列的值。
不要换行。",,2 3 3 5 4,7,64.81%,221,341,https://www.xujcoj.com/home/contest/546/problem/4,https://www.xujcoj.com/home/contest/546/problem,https://www.xujcoj.com/home/problem?keyword3=546,https://www.xujcoj.com/home/problem/detail/2540
2541：除法,19-20(1)第1次线上赛,6：除法,"按照小学数学的写法输出两个数相除的结果。能除得尽的时候输出商，除不尽的时候输出商和余数。
例如42/6=7，43/6=7......1  
商和余数之间是6个小数点字符。",两个正整数a和b。,"如果a除以b没有余数，那么输出a/b=c，其中a和b用具体数字代替，c是a除以b的商。
如果a除以b有余数，那么输出a/b=c......d，其中
a和b用具体数字代替，c是a除以b的商，d是a除以b的余数，c和d之间是
6个小数点字符。
不要换行。",,43 6,43/6=7......1,53.25%,221,415,https://www.xujcoj.com/home/contest/546/problem/6,https://www.xujcoj.com/home/contest/546/problem,https://www.xujcoj.com/home/problem?keyword3=546,https://www.xujcoj.com/home/problem/detail/2541
2583：等差数列-2,24-25(1)第3次线上赛,1：等差数列-5,有一个等差数列，首项是a，公差是d，尾项是一个不大于b的最大合法值。求数列的和。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由3个整数a、b、d构成，含义见问题描述。（-1e8<=a<=b<=1e8，1<=d<=1e8）","针对每组案例，输出对应的等差数列所有项之和。
每组案例输出完都要换行。","C++里，-1e8表示数学上的-1×10
8
，1e8表示数学上的1×10
8
第一组案例中，等差数列是：1、4、7、10","2
1 12 3
-100000000 100000000 1","22
0",24.95%,249,998,https://www.xujcoj.com/home/contest/1890/problem/1,https://www.xujcoj.com/home/contest/1890/problem,https://www.xujcoj.com/home/problem?keyword3=1890,https://www.xujcoj.com/home/problem/detail/4922
2585：广播操,19-20(1)第2次线上赛,3：广播操,广播操的口令是12345678 22345678 32345678 ... 82345678，然后下一节继续这样的循环，就像是一个无线循环的数列。好奇的火华想知道这个无穷无尽的数列中的第x个数字是几。,"一个正整数n，表示测试案例的数量。
每组案例由一个正整数x组成，x不大于1e+9，含义见【描述】。","针对每组案例，输出一个一位整数，表示数列第x个数字。
每组案例输出完都要换行。","第10个数字是
22345678中的第二个2，第65个数字是第二轮循环中
12345678的数字1。","2
10
65","2
1",33.59%,174,518,https://www.xujcoj.com/home/contest/564/problem/3,https://www.xujcoj.com/home/contest/564/problem,https://www.xujcoj.com/home/problem?keyword3=564,https://www.xujcoj.com/home/problem/detail/2585
2645：三天花完的钱,19-20(1)第3次线上赛,6：三天花完的钱,"涂涂拿了a元奖学金，计划三天之内花光。每天花的钱都是个正整数，并且第一天花钱<第二天花钱<第三天花钱。
问总共有多少种不同的花法。","一个正整数n，表示有n组案例。（n<=10）
每组案例由一个正整数a构成。（
a<=1500
）","针对每组案例，输出一个整数，表示
有多少种不同的花法。
每组案例输出完都要换行。","1+2+5
1+3+4","1
8",2,56.03%,79,141,https://www.xujcoj.com/home/contest/583/problem/6,https://www.xujcoj.com/home/contest/583/problem,https://www.xujcoj.com/home/problem?keyword3=583,https://www.xujcoj.com/home/problem/detail/2645
2648：程序员纪元法,19-20(1)第3次线上赛,3：程序员纪元法,"如果把1970年1月1日看作第1天，
1970年1月2日看作第2天，...，1971年1月1日看作第366天，那么a年b月c日是第几天？","一个正整数n，表示有n组案例。
每组案例由3个正整数a、b、c组成，其中保证a年b月c日是一个晚于
1970年1月1日的合法日期，且不会超过公元3199年12月31日。","针对每组案例，输出一个正整数，表示
a年b月c日是上述纪元法的第几天。
每组案例输出完都要换行。",,"2
1970 1 2
1971 1 1","2
366",36.77%,114,310,https://www.xujcoj.com/home/contest/583/problem/3,https://www.xujcoj.com/home/contest/583/problem,https://www.xujcoj.com/home/problem?keyword3=583,https://www.xujcoj.com/home/problem/detail/2648
2670：猜数字,19-20(1)第4次线上赛,2：猜数字,"涂涂和lyf玩猜数字的游戏。lyf心里想了一个4位的正整数，保证每位上的数字互不相同，而且可以以0作为最高位（例如0754）。涂涂可以多次尝试猜测lyf想的数字究竟是多少。 
每次猜测时，涂涂会报一个数字，然后lyf会根据涂涂猜测的情况回答xAyB，其中x表示有多少个数字猜对了，而且数字的位置也是对的；y表示有多少个数字猜对了，而且数字的位置是错的。
例如当lyf想的数字是0754，涂涂猜的数字是5780，那么lyf回答是1A2B。其中数字7猜对了，而且7的位置也是对的（百位数上），所以是1A。而数字0和数字5也猜对了，但0和5出现的位置都与答案不一致，所以是2B。
经过涂涂一系列的猜测后，涂涂就可能推断出lyf想的数字是多少了，但涂涂那天要准备CET考试，没时间思考问题，请写段代码帮涂涂回答。","一个正整数n，表示有n组案例。
每组案例先是一个正整数m，表示涂涂猜了几次。然后是m行数据，每行数据是一个四位正整数a和四个字符组成的字符串b。（m<=20, a保证各位数字都不相同，b是形如xAyB的形式，其中x和y是0~4之间的整数，且x+y<=4）","针对每组案例，如果可以推断出lyf想的4位正整数是多少，那么输出该正整数（注意如果千位数是0，那么也要输出这个0）；如果无解，那么输出-1；如果不止一个解，则输出-2。
每组案例输出完都要换行。 ",,"3
1
1234 0A0B
2
1234 3A1B
5678 2A1B
2
3210 2A2B
3120 0A4B","-2
-1
0213
 ",100.00%,3,3,https://www.xujcoj.com/home/contest/602/problem/2,https://www.xujcoj.com/home/contest/602/problem,https://www.xujcoj.com/home/problem?keyword3=602,https://www.xujcoj.com/home/problem/detail/2670
2770：菱形阵列,19-20(2)第1次线上赛,1：菱形阵列,输出一个边长为m个星号的空心菱形。,"只有一组案例。
一个正整数m（2<=m<=15），表示菱形的边长是m个星号。",边长为m个星号的空心菱形。每行最后一个星号后面不能有多余的空格，最后一行星号输出后需要换行。,,4,,60.32%,190,315,https://www.xujcoj.com/home/contest/641/problem/1,https://www.xujcoj.com/home/contest/641/problem,https://www.xujcoj.com/home/problem?keyword3=641,https://www.xujcoj.com/home/problem/detail/2770
2773：字符串扩充,19-20(2)第1次线上赛,2：字符串扩充,"把一个字符串几乎原样输出，但是其中如果遇到数字字符，那么该字符需要重复输出该数字那么多遍。
如果遇到数字字符0，则不要输出该字符。","一个正整数n，表示测试案例的数量。
每组案例由一个不含空格、tab的字符串组成。","针对每组案例，把字符串几乎原样输出，但是其中如果遇到数字字符，那么该字符需要重复输出该数字那么多遍。如果遇到数字字符0，则不要输出该字符。
每组案例输出完都要换行。",,"1
ab3c2",ab333c22,55.56%,150,270,https://www.xujcoj.com/home/contest/641/problem/2,https://www.xujcoj.com/home/contest/641/problem,https://www.xujcoj.com/home/problem?keyword3=641,https://www.xujcoj.com/home/problem/detail/2773
2785：一二三,19-20(2)第2次线上赛,5：一二三,"小调发现，可以找出3个三位数，它们的大小比例是1：2：3，并且这3个三位数各个位置上一共9个数字都没有重复。
找到所有满足条件的数字。",无,"按照从小到大的顺序，输出所有满足这样条件的3个三位数。
每组3个三位数两两之间都有一个空格字符，每组输出完都要换行。",, ,"192 384 576
219 438 657
...后面看不见了",33.03%,72,218,https://www.xujcoj.com/home/contest/653/problem/5,https://www.xujcoj.com/home/contest/653/problem,https://www.xujcoj.com/home/problem?keyword3=653,https://www.xujcoj.com/home/problem/detail/2785
2874：互质的数量,19-20(2)第6次线上赛,6：互质的数量,"计算比m小的整数中，有多少个数字与m互质。
互质的定义：当两个正整数的最大公因数是1时，称这两个数字互质。","多组案例。
一个正整数n，表示案例的数量。
每组案例中，只有一个正整数m。(m<=10亿)",每组案例，输出一个整数，表示与m互质的正整数数量。输出完换行。,"第一组案例中，满足条件的数字有1、3
第二组案例中，满足条件的数字有1、2、3、4、5、6、7、8、9、10","3
4
11
50000","2
10
20000",18.90%,24,127,https://www.xujcoj.com/home/contest/690/problem/6,https://www.xujcoj.com/home/contest/690/problem,https://www.xujcoj.com/home/problem?keyword3=690,https://www.xujcoj.com/home/problem/detail/2874
2883：互质问题,19-20(2)第7次线上赛,5：互质问题,有一堆数字排成一排，涂涂希望删除其中尽可能少的数字后，就能满足任意相邻的两个数字都是互质的（最大公因数为1），问最少需要删除几个数字？,"多组案例。一个正整数n，表示案例的数量。（n<=20）
每组案例中，先是一个正整数m，表示数字的数量，（2<=m<=2000）
然后是m个正整数，每个数字都不大于100万。","针对每组案例，输出一个整数，表示最少需要删除的数字数量。
每组案例输出完都要换行。","第一组案例，任意两个相邻的数字都是互质的。
第二组案例，由于正偶数之间不互质，所以必须得删除其中4个，剩下任意一个。
第三组案例，在删除6、9、6这三个数字后能满足要求。","3
5
1 2 3 4 5
5
2 4 6 8 10
6
2 6 3 9 2 6","0
4
3",5.26%,1,19,https://www.xujcoj.com/home/contest/695/problem/5,https://www.xujcoj.com/home/contest/695/problem,https://www.xujcoj.com/home/problem?keyword3=695,https://www.xujcoj.com/home/problem/detail/2883
2899：各位数字的乘积,厦大附中线上赛（2020/8/16）,6：各位数字的乘积,给出一个整数N（0<=N<=10^9），找到一个满足条件的最小正整数Q，Q的所有位置上的数字的乘积刚好等于N。,"一个正整数T，表示案例的数量。（T<=20）
每组案例由一个整数N组成。（0<=N<=10^9）","针对每组案例，输出一个满足条件的最小正整数Q，Q的各个位置上的数字乘积等于N。如果不存在这样的Q，那么输出-1。
每组案例输出完要换行。",,"1
10",25,12.50%,11,88,https://www.xujcoj.com/home/contest/697/problem/6,https://www.xujcoj.com/home/contest/697/problem,https://www.xujcoj.com/home/problem?keyword3=697,https://www.xujcoj.com/home/problem/detail/2899
2910：四边形,厦大附中线上赛（2020/9/6）,2：四边形,"已知四条线段的长度，问以这四条线段为边，是否有可能构成四边形？
判定规则：两条最短边之和应大于剩下两条边之差。","一个正整数T，表示案例的数量。（T<=30）
每组案例由四个整数a、b、c、d组成，表示四条线段的长度。（1<=a,b,c,d<=10000）","针对每组案例，如果四条线段能构成四边形，则输出Yes，否则输出No。
每组案例输出完都要换行。",,"2
1 2 3 4
1 2 5 10","Yes
No",66.67%,12,18,https://www.xujcoj.com/home/contest/698/problem/2,https://www.xujcoj.com/home/contest/698/problem,https://www.xujcoj.com/home/problem?keyword3=698,https://www.xujcoj.com/home/problem/detail/2910
2927：最近的坐标点,20-21(1)第1次线上赛,6：最近的坐标点,在平面直角坐标系中依次给出3个坐标点的x轴和y轴值，输出其中离原点最近的坐标点的x轴和y轴值。,"只有一组案例。
分三行，每行表示一个坐标点的信息，每行由两个浮点数a和b组成，表示该点在平面直角坐标系中的坐标是(a,b)。（a和b的绝对值均不大于10000）",按坐标点在数学中的格式输出两个浮点数（参考样例输出格式），表示离原点最近的坐标点的x轴和y轴值。不要换行。,输出中的括号和逗号都是英文输入法状态下的符号，逗号前后都没有空格,"1.5 2.5
1 2
-3 4","(1,2)",43.51%,124,285,https://www.xujcoj.com/home/contest/713/problem/6,https://www.xujcoj.com/home/contest/713/problem,https://www.xujcoj.com/home/problem?keyword3=713,https://www.xujcoj.com/home/problem/detail/2927
