标题,题目名称,问题描述,输入描述,输出描述,提示说明,样例输入,样例输出,通过率,Submit,题目URL,题目列表URL,补题传送门URL,补题题目URL
24-25(2)第3次线上赛,4：位运算24~25(2)-1,"已知非负长整数a和b，求一个非负长整数c，使得(~a|c)^(b|c)的值尽可能大，如果有多个满足条件的c，选取其中的最大值作为c的值。
注：~是按位取反运算，|是按位或运算，^是按位异或运算，上述所有运算的值都按无符号长整数记。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=10000）
每组案例由两个非负长整数a和b组成。（a<=1e14，b<=1e14）","针对每组案例，输出一个非负长整数c，是满足(~a|c)^(b|c)的值尽可能大的最大非负长整数。
每组案例输出完都要换行。",,"2
5 8

10 10



","13
0",77.78%,18,https://www.xujcoj.com/home/contest/2244/problem/4,https://www.xujcoj.com/home/contest/2244/problem,https://www.xujcoj.com/home/problem?keyword3=2244,https://www.xujcoj.com/home/problem/detail/5382
24-25(2)第3次线上赛,5：4*100米接力,在一场4*100米接力赛跑比赛中，有m支队伍，每支队伍有4名选手分别负责100米跑，已知每支队伍每名选手跑100米需要的时间，假设交接棒不需要花费额外的时间，4*100米跑需要的总时间，由队伍里4名选手100米的时间相加得到。按队伍的名次从第1名到最后1名，依次输出每支队伍每个人的时间。,"只有一组案例。
一个正整数m，表示队伍的数量。（m<=100）
然后是m行数据，每行数据由4个正整数组成，表示一支队伍里4名选手跑100米需要的时间。（均不大于1000）
保证不会有两支队伍的总时间相同。","按名次从第1名到最后1名，依次输出每支队伍4名选手跑100米的时间。每支队伍占一行，每行有4个选手的时间。
输出时不要改变一支队伍里4名选手的成绩顺序。",,"3
40 50 40 40
30 60 45 40
50 30 30 40","50 30 30 40
40 50 40 40
30 60 45 40",50.00%,96,https://www.xujcoj.com/home/contest/2244/problem/5,https://www.xujcoj.com/home/contest/2244/problem,https://www.xujcoj.com/home/problem?keyword3=2244,
24-25(2)第2次线上赛,3：数字构建,"用e、n、o这三个字母可以构成数字one，用e、n、s、v这四个字母可以构成数字seven。现在提供了若干个小写英文字母，每个字母可以重复使用，问能构建出多少个[1,19]之间的英文整数单词？","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由一个字符串s组成，s由小写字母组成，表示可以使用的英文字母。","针对每组案例，输出一个整数，表示可以组成的[1,19]之间的英文整数单词的个数。
每组案例输出完都要换行。",第二组案例可以构建出one和seven,"2
abc
ensov","0
2",45.87%,109,https://www.xujcoj.com/home/contest/2228/problem/3,https://www.xujcoj.com/home/contest/2228/problem,https://www.xujcoj.com/home/problem?keyword3=2228,https://www.xujcoj.com/home/problem/detail/5323
24-25(2)第2次线上赛,4：细胞繁衍,"在一个a行b列的空间中，每个格子称为一个方块，里面住着一个活细胞或者死细胞。每个方块有8个方向（上下左右、左上、左下、右上、右下）的邻居，如果是边缘方块，邻居数量可能达不到8个。
（1）存活法则：一个具有2个或者3个活邻居的活细胞存活
（2）诞生法则：刚好具有3个活邻居的死细胞成为活细胞
（3）死亡法则：除了（1）（2）情况外，一个细胞死去或者保持死亡。仅有0和1个活邻居的情况下，死于孤独；多余3个活邻居的情况下，死于拥挤。
已知时间t=0时空间中各个方块细胞的死活情况，求t=m时的情况。","只有一组案例。
两个正整数a和b，表示空间有a行b列。（a<=100，b<=100）
然后是a行由0和1组成的长度为b的字符串，表示空间中每一格的细胞在t=0时是死是活，0表示死细胞，1表示活细胞。
最后是一个正整数m，表示需要求t=m时的情况。（m<=200）",输出a行b列由0和1表示的数据，表示t=m时每一格子的细胞是死是活，0表示死细胞，1表示活细胞。,,"5 6
000000
000100
010100
001100
000000
4","000000
000000
000010
001010
000110",62.50%,8,https://www.xujcoj.com/home/contest/2228/problem/4,https://www.xujcoj.com/home/contest/2228/problem,https://www.xujcoj.com/home/problem?keyword3=2228,https://www.xujcoj.com/home/problem/detail/5324
24-25(2)第1次线上赛,4：完美假期,"在某未知星球上有一个牛马程序员Bob，每天要么是工作日，要么是假期。这个星球的一年与地球不同，不是365或366天。
Bob有年假，在该星球的一年时间内，可以把若干个工作日变为假期。
Bob希望拥有一个尽可能长的连续假期。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=10）
每组案例中先是一个正整数a，表示年假的天数；（a<=1e6）
然后是一个由0和1构成的字符串，0表示假期，1表示工作日。（字符串长度<=1e6）","针对每组案例，输出一个整数，表示Bob最长连续假期的天数。
每组案例输出完都要换行。","第一组案例，没有年假，都是工作日，没有假期，最长连续假期为0
第二组案例，5天年假，把4天工作日都请假，最长连续假期为8
第三组案例，1天年假，把第6天工作日请假，能得到从第5天到第7天连续3天的假期","3
0 1111111
5 10101010
1 1011010","0
8
3",56.64%,113,https://www.xujcoj.com/home/contest/2118/problem/4,https://www.xujcoj.com/home/contest/2118/problem,https://www.xujcoj.com/home/problem?keyword3=2118,https://www.xujcoj.com/home/problem/detail/5232
24-25(1)第6次线上赛,1：三角形分类,"给出一个三角形的三个内角度数，请你报告他是哪种类型的三角形。
在本题中，你只需要按照给出的类型依次判断该三角形属于哪一类（若同时满足多个类型，按先满足的输出）：
1、等边三角形
2、等腰直角三角形
3、等腰锐角三角形
4、等腰钝角三角形
5、直角三角形

6、锐角三角形

7、钝角三角形



","第一行是一个正整数$$T$$表示测试案例的数量。（$$1 \le T \le 20000$$）
每组案例包含三个正整数$$a,b,c$$代表三个内角度数。（$$a+b+c=180$$）",针对每组案例，在一行中输出该三角形对应的类型编号。,,"2
60 60 60
120 30 30","1
4",42.88%,667,https://www.xujcoj.com/home/contest/2008/problem/1,https://www.xujcoj.com/home/contest/2008/problem,https://www.xujcoj.com/home/problem?keyword3=2008,https://www.xujcoj.com/home/problem/detail/2341
24-25(1)第5次线上赛,5：报数,"老师让Alice报[a,b]范围内的所有整数，Alice没按照顺序报数，导致最后漏了一个数字，请找出那个遗漏的数字。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例先是两个整数a和b，（-100<=a，b<=100，且[a,b]范围内至少有2个整数）
然后是(b-a)个整数。（均在[a,b]范围内，且互不相同）","针对每组案例，输出一个整数，表示遗漏的那个数字。
每组案例输出完都要换行。",,"2
1 10
10 9 8 6 1 2 3 4 5
3 6
4 3 5","7
6",79.57%,235,https://www.xujcoj.com/home/contest/1968/problem/5,https://www.xujcoj.com/home/contest/1968/problem,https://www.xujcoj.com/home/problem?keyword3=1968,https://www.xujcoj.com/home/problem/detail/5036
24-25(1)第4次线上赛,1：倍数问题,有10个非负整数，问：后9个数字中，有多少个是第1个数字的倍数？（当b≠0且a除以b的余数为0时，称a是b的倍数）,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例由10个非负整数组成。（均不大于10000）","针对每组案例，输出一个整数，表示后9个数字中，有多少个是第1个数字的倍数。
每组案例输出完都要换行。",,"2
0 1 2 3 4 5 6 7 8 9
2 0 1 2 3 4 5 6 7 8","0
5",41.85%,779,https://www.xujcoj.com/home/contest/1936/problem/1,https://www.xujcoj.com/home/contest/1936/problem,https://www.xujcoj.com/home/problem?keyword3=1936,https://www.xujcoj.com/home/problem/detail/5005
24-25(1)第3次线上赛,5：乘积的和,"输入由多行组成。

如果某行由两个正整数a和b组成，那么把a乘b的结果累加到总和中；

如果某行只有一个整数0，那么输出当前累加的总和，并换行，然后把累加的和重置为0。

如果某行只有一个整数-1，那么输出当前累加的总和，并结束程序。





","输入由多行组成。
每行要么是两个正整数，要么是一个整数0，要么是一个整数-1。（保证只有最后一行是一个整数-1，累加的和不会超出int整数范围）",根据问题描述输出结果。,,"2 3
3 5
0
6 8
-1","21
48",67.08%,322,https://www.xujcoj.com/home/contest/1890/problem/5,https://www.xujcoj.com/home/contest/1890/problem,https://www.xujcoj.com/home/problem?keyword3=1890,https://www.xujcoj.com/home/problem/detail/4925
24-25(1)第2次线上赛,2：进货价和售价,已知小卖部对某样商品的进货价是a元，小卖部准备把这件商品标价x元出售，x是个整数，且相对于进货价至少要挣b元。问x的最小值是多少？,两个正浮点数a和b，含义见问题描述。（a<=10000，b<=10000）,"一个正整数x，含义见问题描述。
不要换行。",,10.5 1.6,13,41.77%,711,https://www.xujcoj.com/home/contest/1846/problem/2,https://www.xujcoj.com/home/contest/1846/problem,https://www.xujcoj.com/home/problem?keyword3=1846,https://www.xujcoj.com/home/problem/detail/4889
24-25(1)第1次线上赛,2：输出三行,输出三行。,无,"第一行5个*，第二行9个+，第三行4个\

第三行结尾处不要换行。

",, ,"*****

+++++++++

\\\\



",47.52%,827,https://www.xujcoj.com/home/contest/1808/problem/2,https://www.xujcoj.com/home/contest/1808/problem,https://www.xujcoj.com/home/problem?keyword3=1808,https://www.xujcoj.com/home/problem/detail/4822
24-25(1)第1次线上赛,3：两个较大数的和,输入三个整数，输出其中较大的两个数之和,三个整数，绝对值均不大于10000。,"一个整数，表示三个数中较大的两个数之和。
不要换行。",,"2
-10
-3",-1,40.46%,734,https://www.xujcoj.com/home/contest/1808/problem/3,https://www.xujcoj.com/home/contest/1808/problem,https://www.xujcoj.com/home/problem?keyword3=1808,https://www.xujcoj.com/home/problem/detail/4823
